DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,1998-01-01,72723.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,1998-01-01,83812.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,1998-01-01,95955.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,1998-01-01,8801.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,1998-01-01,802456.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,1998-01-01,51372.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,1998-01-01,116411.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,ES,1998-01-01,81227.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FI,1998-01-01,14192.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,1998-01-01,51784.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,1998-01-01,17269.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,1998-01-01,48175.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,1998-01-01,4562.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,1998-01-01,156885.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LT,1998-01-01,2706.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LU,1998-01-01,11630.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LV,1998-01-01,3123.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,NL,1998-01-01,122407.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,NO,1998-01-01,36704.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,PL,1998-01-01,8916.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,PT,1998-01-01,56788.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SE,1998-01-01,49391.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SI,1998-01-01,4603.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,SK,1998-01-01,2052.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,UK,1998-01-01,332390.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,1999-01-01,86710.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,1999-01-01,91624.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,1999-01-01,107953.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,1999-01-01,8524.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,1999-01-01,874023.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,1999-01-01,50236.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EL,1999-01-01,84695.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,ES,1999-01-01,127365.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FI,1999-01-01,14744.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HR,1999-01-01,32910.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,HU,1999-01-01,21422.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IE,1999-01-01,51675.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IS,1999-01-01,4785.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,IT,1999-01-01,185052.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LT,1999-01-01,2679.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LU,1999-01-01,12794.0,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,LV,1999-01-01,1813.0,,
