DATAFLOW,LAST UPDATE,freq,citizen,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1985-01-01,6725.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1985-01-01,5385.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1985-01-01,73830.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1985-01-01,8700.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1985-01-01,1400.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,ES,1985-01-01,2300.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FI,1985-01-01,20.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,FR,1985-01-01,28925.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,IT,1985-01-01,5400.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,LU,1985-01-01,80.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NL,1985-01-01,5645.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,NO,1985-01-01,830.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,PT,1985-01-01,70.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,SE,1985-01-01,14500.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,UK,1985-01-01,6200.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,AT,1986-01-01,8640.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,BE,1986-01-01,7645.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,CH,1986-01-01,8195.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DE,1986-01-01,99650.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,DK,1986-01-01,9300.0,,
ESTAT:MIGR_ASYCTZ(1.0),12/01/26 11:00:00,A,TOTAL,PER,EL,1986-01-01,4300.0,,
