DATAFLOW,LAST UPDATE,freq,citizen,applicant,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,AT,2008-01-01,12750.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,BE,2008-01-01,15940.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,BG,2008-01-01,745.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,CH,2008-01-01,16605.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,CY,2008-01-01,3920.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,CZ,2008-01-01,1650.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,DE,2008-01-01,26945.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,DK,2008-01-01,2375.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,EE,2008-01-01,15.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,EL,2008-01-01,19885.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,ES,2008-01-01,4515.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,FI,2008-01-01,3770.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,FR,2008-01-01,41845.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,HU,2008-01-01,3175.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,IE,2008-01-01,3865.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,IS,2008-01-01,75.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,IT,2008-01-01,30145.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,LI,2008-01-01,25.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,LT,2008-01-01,520.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,LU,2008-01-01,455.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,LV,2008-01-01,55.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,MT,2008-01-01,2605.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,NL,2008-01-01,15250.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,NO,2008-01-01,14430.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,PL,2008-01-01,8515.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,PT,2008-01-01,160.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,RO,2008-01-01,1180.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,SE,2008-01-01,24875.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,SI,2008-01-01,260.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,SK,2008-01-01,905.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,AT,2009-01-01,15815.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,BE,2009-01-01,22955.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,BG,2009-01-01,855.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,CH,2009-01-01,16005.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,CY,2009-01-01,3200.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,CZ,2009-01-01,1245.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,DE,2009-01-01,33035.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,DK,2009-01-01,3775.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,EE,2009-01-01,40.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,EL,2009-01-01,15925.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,ES,2009-01-01,3005.0,,
ESTAT:MIGR_ASYAPPCTZA(1.0),06/05/26 11:00:00,A,TOTAL,TOTAL,T,PER,TOTAL,FI,2009-01-01,5700.0,,
