DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,MOSTREL_CCITENSHIP,TYPE_RES_PERMIT_REASON,TYPE_RES_PERMIT,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_MOSTREL_CCITENSHIP,NOTE_TYPE_RES_PERMIT_REASON,NOTE_TYPE_RES_PERMIT,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2007-01-01,267600.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2008-01-01,286242.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2009-01-01,393031.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2010-01-01,598567.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2011-01-01,361690.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2012-01-01,263968.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2013-01-01,255646.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2014-01-01,248323.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2015-01-01,238936.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2016-01-01,226934.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2017-01-01,262770.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2018-01-01,242009.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2019-01-01,177254.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2020-01-01,106503.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2021-01-01,241595.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2022-01-01,449118.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2023-01-01,330730.0,,,,,,,,,,,,,
IT1:29_348_DF_DCIS_PERMSOGG1_11(1.0),A,IT,INFLNONEU,9,WORLD,ALL,TOTAL,TOTAL,99,2024-01-01,290119.0,,,,,,,,,,,,,
